 ,, ,,,,,,,,,
Seed ID,Task,Categories,Difficulty Vars,Rules,Duplicate,Source, Completion,Remark,,,
Gym-V 1,Arc 1D,Single-turn / ARC,"Parametric variables (levels 0, 1, 2)",Observe 1D visual patterns and solve the ARC task,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 2,Arc Agi,Single-turn / ARC,"Parametric variables (levels 0, 1, 2)",Solve general Abstraction and Reasoning Corpus grids,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 3,Rearc,Single-turn / ARC,"Parametric variables (levels 0, 1, 2)",Variant of ARC tasks involving reverse-engineering patterns,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 4,Addition Table,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Infer/complete values in a visual addition table,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 5,Binary Matrix,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Perform algorithmic reasoning on a visual binary matrix,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 6,Circulating Grid,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Trace or predict circulating elements within a grid,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 7,Coin Square Game,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Solve algorithmic states of coins placed on squares,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 8,Face Right Way,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Determine correct orientation or facing direction visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 9,Game Of Life,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Predict the next state of Conway's Game of Life,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 10,Gra Minima Game,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Find the local or global minima visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 11,Grid Bfs,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Execute Breadth-First Search logic on a visual grid,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 12,Grid Local Minimum Counting,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Count the number of local minimums in a grid,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 13,Landform Generation Counting,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Algorithmic counting related to generated landforms,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 14,Langton Ant,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Predict the state of Langton's Ant system,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 15,Lifegame,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Determine states for cellular automaton rules,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 16,Matrix Permutation Both Diagonal One,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Logic validation of matrix permutations on both diagonals,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 17,Matrix Permutation Main Diagonal One,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Logic validation of matrix permutations on the main diagonal,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 18,Max Grid Path Intersection,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Find points or counts of maximal grid path intersections,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 19,Monochrome Block Counting,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Count contiguous regions of monochrome blocks,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 20,New Nim Game,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Determine winning moves in a visual Nim-like game,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 21,Rotate Matrix,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Determine the outcome of rotating a visual matrix,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 22,Rotten Oranges,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Solve the classic 'rotten oranges' BFS spreading algorithm visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 23,Spiral Matrix,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Parse or reconstruct a matrix traversed in spiral order,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 24,Stone Intervals Game,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Solve logic based on visual stone placements and intervals,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 25,Turing Machine 2d,Single-turn / Algorithmic,"Parametric variables (levels 0, 1, 2)",Predict states of a 2D Turing Machine,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 26,Flow Network,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Parse visual representations of flow networks,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 27,Hue,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Cognition tasks based on color/hue identification,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 28,Maze 3D (Cognition),Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Solve or analyze 3D mazes from single visual states,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 29,Odd One Out,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Identify the anomaly among given visual items,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 30,Rectangle Count,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Count the total number of rectangles visually presented,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 31,Rubiks Cube,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Analyze Rubik's Cube configurations or next moves,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 32,Sequence Completion,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Complete a visual pattern sequence,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 33,Sphinx Utils / Patterns,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Cognitive puzzles relating to sphinx-like tile configurations,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 34,Symmetry Fill,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Fill in missing sections based on visual symmetry,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 35,Transform Result,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Deduce the result after a visual geometric transformation,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 36,Tree To Traversal,Single-turn / Cognition,"Parametric variables (levels 0, 1, 2)",Convert a visually presented tree to its traversal array,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 37,Convex Hull,Single-turn / Geometry,"Parametric variables (levels 0, 1, 2)",Identify points or boundary of the convex hull visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 38,Largest Island,Single-turn / Geometry,"Parametric variables (levels 0, 1, 2)",Visually identify or compute the area of the largest island/cluster,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 39,Largest Rectangle Among Points,Single-turn / Geometry,"Parametric variables (levels 0, 1, 2)",Find the largest rectangle that can be formed visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 40,Ska Rock Garden,Single-turn / Geometry,"Parametric variables (levels 0, 1, 2)",Solve spatial geometry puzzles based on rock garden layouts,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 41,Smallest Circle,Single-turn / Geometry,"Parametric variables (levels 0, 1, 2)",Find the smallest enclosing circle for visual points,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 42,Sum Triangle Area,Single-turn / Geometry,"Parametric variables (levels 0, 1, 2)",Compute the sum of triangle areas presented visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 43,Tangram,Single-turn / Geometry,"Parametric variables (levels 0, 1, 2)",Solve geometric assembly puzzles using tangram shapes,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 44,Visible Line,Single-turn / Geometry,"Parametric variables (levels 0, 1, 2)",Identify lines of sight or visible lines visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 45,Fbi Binary Tree,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Analyze graph structure for FBI binary trees,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 46,Graph Contain Tree Counting,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Count specific tree structures inside a visual graph,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 47,Graph Isomorphism,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Check if two visually presented graphs are isomorphic,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 48,Grid Component,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Count or identify connected components on a grid,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 49,Hamiltonian Path,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Find or verify a Hamiltonian path in a visual graph,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 50,Longest Path,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Identify the longest path in the given visual graph,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 51,Maximum Achromatic Number,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Reason about graph coloring to find the maximum achromatic number,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 52,Maximum Clique,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Identify the largest complete subgraph (clique),,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 53,Maximum Independent Set Grid,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Find max independent set on a grid structure,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 54,Maximum Independent Set Tree,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Find max independent set on a tree structure,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 55,Maximum Weight Matching,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Solve for maximum weight matching visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 56,Minimum Chromatic Number,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Find the graph's minimum chromatic number,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 57,Minimum Directed Spanning Tree,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Find visually the minimum directed spanning tree (arborescence),,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 58,Minimum Spanning Tree Counting,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Count visual occurrences of minimum spanning trees,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 59,Mixed Graph Eulerian Circuit,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Solve or verify Eulerian circuits in mixed graphs,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 60,Patrol,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Solve graph patrol routing problems visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 61,Shortest Path,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Identify shortest path visually on a graph,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 62,Tree Center,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Identify the center node(s) of a given tree,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 63,Tree Change One Edge Diameter,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Determine diameter changes upon modifying one edge,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 64,Tree Coloring,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Evaluate proper visual coloring assignments on trees,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 65,Tree Distance Equal Triad Counting,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Find triads with equal distances in a given tree,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 66,Tree Even Partitioning,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Analyze graph capability for even partitions,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 67,Tree Topological Sequence Counting,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Count topological sequences represented,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 68,Weighted Binarytree,Single-turn / Graphs,"Parametric variables (levels 0, 1, 2)",Calculate weights visually over binary trees,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 69,Binairo,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Solve visual Binairo (Takuzu) logic grid,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 70,Binario No Adjacency Requirement,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Binairo variant without adjacency rules,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 71,Campsite Puzzle,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Place campsites on grid based on visual logic,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 72,Circuit Logic,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Determine outputs based on a logic circuit representation,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 73,Futoshiki,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Solve visual Futoshiki puzzle logic (inequalities),,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 74,Grid Parity Construction,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Reason about parity rules in a visual grid,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 75,Kakurasu,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Fill the Kakurasu grid according to row/col rules,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 76,Magic Square Puzzle,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Construct or solve a visual magic square,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 77,Mini Sudoku,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Solve smaller scale Sudoku variants visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 78,N Queens,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Identify correct placements for N-Queens problem,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 79,Numbrix,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Connect numbers orthogonally in sequence,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 80,Renzoku,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Solve Renzoku grid logic (using adjacency dots),,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 81,Skyscraper Puzzle,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Solve visually using heights/visibility logic,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 82,Star Battle,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Place stars conforming to region constraints,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 83,Survo,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Fill the Survo puzzle array correctly,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 84,Tents,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Determine correct visual tent-tree logic mappings,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 85,Thermometers,Single-turn / Logic,"Parametric variables (levels 0, 1, 2)",Analyze logic grids based on filled thermometer counts,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 86,Chess Ranger,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Board puzzle logic inspired by chess mechanics,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 87,Eight Digit Puzzle,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Solve or analyze 8-puzzle configurations,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 88,Freecell,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Assess state or best move in a Freecell game,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 89,Jewel2,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Analyze jewel matching grids,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 90,Klo Blocks,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Analyze sliding/matching block state,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 91,Knight Swap,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Visually analyze knight swap board logic,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 92,Maze QA,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Answer visual query over maze environment,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 93,Nine Puzzle,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",State estimation/next moves on a nine grid puzzle,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 94,Pacman,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Identify visual action state within Pacman grid,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 95,Pyramidchess,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Solve variant chess mechanics on pyramid board,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 96,Rhythm Game,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Parse rhythm note sequences visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 97,Snake,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Evaluate visual states of the Snake game,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 98,Space Invaders,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Single-turn state observation of Space Invaders mechanics,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 99,Spider Solitaire,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Evaluate state in Spider Solitaire visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 100,Tetris,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Identify optimal single-turn placement in Tetris,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 101,Tetris Attack,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Variant visual puzzle state for Tetris Attack,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 102,Tictactoe,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Evaluate tic-tac-toe state/winning move visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
